age,death_prob
0,0.0006250010394303464
1,5.990441063376946e-05
2,4.757635144281013e-05
3,2.9889668496988452e-05
4,2.7550644862196006e-05
5,1.963045433611343e-05
6,2.220325819215876e-05
7,1.6813854596253704e-05
8,1.943600391174844e-05
9,1.5806669797689813e-05
10,2.074219288044141e-05
11,1.630843006357636e-05
12,1.98591045838592e-05
13,2.772066684128901e-05
14,3.088146337503099e-05
15,3.241190547132077e-05
16,3.949957458253414e-05
17,4.433298676404885e-05
18,4.914636762044053e-05
19,6.007003549271351e-05
20,5.966745471463121e-05
21,7.447280254062242e-05
22,6.851152904090021e-05
23,6.469092020036196e-05
24,7.703534644965351e-05
25,6.67873693736036e-05
26,6.446813277948145e-05
27,6.783681538248803e-05
28,7.267706752867889e-05
29,8.465531138334341e-05
30,8.534199497993888e-05
31,8.433774159480762e-05
32,9.410472258345217e-05
33,0.00011548181075651244
34,0.00013040294941309282
35,0.00011842690411850281
36,0.0001250135458171878
37,0.00013735552922195215
38,0.00014309328244743567
39,0.0001597410236158399
40,0.00018172711292953073
41,0.0002004244006562544
42,0.0002120814104555923
43,0.00023351566119058902
44,0.0002520890966997837
45,0.00027705912060344733
46,0.0003109606726674537
47,0.00031908044359140836
48,0.0003750030176458445
49,0.000422709816986407
50,0.00048561990352644134
51,0.0005616803107252901
52,0.0006198358889620381
53,0.0007013501908523099
54,0.0007639238977009491
55,0.0008473008685432094
56,0.000964721809285412
57,0.001066821473437479
58,0.0011343311919377753
59,0.0012885064385828463
60,0.0014326342656875504
61,0.0015247952168807109
62,0.0016620794150424688
63,0.0018375777629965491
64,0.0020069003557014195
65,0.0022213647609932935
66,0.0023270497880579295
67,0.0025511783305838536
68,0.002696785544334229
69,0.003067280780974034
70,0.003226761153078822
71,0.0035951557877096896
72,0.003819735035050882
73,0.004220104550267154
74,0.0047766030991813506
75,0.005119959798830698
76,0.00586912183133824
77,0.006404243292079377
78,0.007281834455622035
79,0.008342853440454061
80,0.008849651096040143
81,0.010172921899374
82,0.01210138960155621
83,0.01353239106996178
84,0.015628426913909425
85,0.018063245719698143
86,0.02018981345596898
87,0.023378781849936418
88,0.027171105237978704
89,0.031115280971805142
90,0.035378211518047514
91,0.041159732944640426
92,0.045295551297332294
93,0.051295548279930735
94,0.056692287005097604
95,0.06358613643440292
96,0.06950909465056936
97,0.0775533709301177
98,0.08269606555010968
99,0.08768996870851006
100,0.12061937613585065
