Edad de la madre;Mes;Sexo;Total
De 15 años y menos;Total;Total;263
De 16 años;Total;Total;516
De 17 años;Total;Total;923
De 18 años;Total;Total;1.534
De 19 años;Total;Total;2.403
De 20 años;Total;Total;3.230
De 21 años;Total;Total;4.060
De 22 años;Total;Total;4.729
De 23 años;Total;Total;5.503
De 24 años;Total;Total;6.314
De 25 años;Total;Total;7.762
De 26 años;Total;Total;8.910
De 27 años;Total;Total;10.856
De 28 años;Total;Total;13.224
De 29 años;Total;Total;16.059
De 30 años;Total;Total;18.775
De 31 años;Total;Total;21.086
De 32 años;Total;Total;22.960
De 33 años;Total;Total;24.283
De 34 años;Total;Total;25.480
De 35 años;Total;Total;24.424
De 36 años;Total;Total;23.558
De 37 años;Total;Total;20.722
De 38 años;Total;Total;18.008
De 39 años;Total;Total;15.174
De 40 años;Total;Total;12.191
De 41 años;Total;Total;8.739
De 42 años;Total;Total;5.774
De 43 años;Total;Total;3.677
De 44 años;Total;Total;2.314
De 45 años;Total;Total;1.368
De 46 años;Total;Total;839
De 47 años;Total;Total;418
De 48 años;Total;Total;286
De 49 años y más;Total;Total;449
Total;Total;Total;336.811
